student_id,task_id,true_skill_score,time_to_first_attempt,total_attempts,compile_count,error_count,hint_count,repeated_error_count,solution_correctness,test_cases_passed,time_to_solution,code_changes
S002,T001,71.0,30.06,3,5,3,2,1,0.7141,7,310.41,6
S002,T002,71.0,42.7,4,5,4,2,2,0.6106,6,442.89,7
S002,T003,71.0,52.76,5,6,5,2,3,0.4966,4,562.2,10
S002,T004,84.0,27.63,3,5,3,1,1,0.8035,7,226.15,6
S002,T005,84.0,32.9,4,5,4,1,2,0.7101,8,333.83,7
S002,T006,35.0,61.17,5,6,7,3,5,0.3624,3,566.79,11
S002,T007,35.0,66.88,7,9,8,4,7,0.2527,3,699.32,14
S002,T008,55.0,47.37,5,6,6,3,4,0.4898,4,503.66,9
S002,T009,32.0,67.65,5,6,7,4,5,0.3059,2,657.49,10
S002,T010,32.0,73.16,6,6,7,3,6,0.2497,3,725.36,12
S002,T011,71.0,33.76,3,5,2,1,1,0.7072,7,307.2,4
S002,T012,71.0,37.39,3,4,4,2,1,0.6376,7,385.77,5
S002,T013,71.0,42.9,4,4,5,3,3,0.5364,5,530.44,9
S002,T014,84.0,20.56,3,5,2,1,0,0.8229,9,215.87,5
S002,T015,84.0,33.37,2,4,3,1,1,0.7109,6,349.64,4
S002,T016,84.0,36.94,3,3,4,2,2,0.6598,6,405.52,7
S002,T017,35.0,64.86,6,7,7,3,5,0.3855,5,550.74,12
S002,T018,35.0,70.59,7,9,7,3,6,0.2679,3,709.54,13
S002,T019,35.0,83.52,8,9,8,4,8,0.1568,2,850.43,14
S002,T020,55.0,53.68,5,7,4,2,2,0.5151,5,450.46,7
S002,T021,55.0,52.52,4,5,5,3,4,0.481,5,536.41,9
S002,T022,55.0,52.4,5,7,5,2,4,0.4624,6,543.57,10
S002,T023,55.0,63.73,6,8,8,3,7,0.3179,4,737.84,13
S002,T024,55.0,63.46,5,7,7,4,5,0.3173,3,687.82,10
S002,T025,55.0,55.83,4,4,6,3,4,0.4712,4,545.23,10
S002,T026,32.0,61.07,6,6,6,3,5,0.359,4,612.15,10
S002,T027,32.0,78.68,6,7,8,4,8,0.2012,1,769.75,12
S002,T028,32.0,66.88,5,7,7,4,6,0.2556,2,721.45,11
S002,T029,32.0,79.13,8,8,10,4,10,0.1192,1,886.12,16
S002,T030,32.0,85.63,7,8,9,4,10,0.1105,1,907.27,15
S003,T001,43.0,53.94,4,5,6,3,4,0.4477,4,533.26,8
S003,T002,43.0,62.55,7,9,8,4,6,0.3104,4,651.96,14
S003,T003,43.0,76.8,7,9,8,4,8,0.2345,2,807.13,14
S003,T004,60.0,46.62,4,5,4,2,2,0.5641,5,403.96,8
S003,T005,60.0,54.07,5,7,5,3,3,0.4894,5,531.31,9
S003,T006,32.0,63.15,6,8,6,4,5,0.3287,2,610.98,12
S003,T007,32.0,74.15,6,6,8,3,8,0.2253,2,741.06,12
S003,T008,42.0,69.63,6,8,7,3,6,0.3049,2,653.79,11
S003,T009,69.0,34.17,3,4,3,1,1,0.6839,7,305.66,5
S003,T010,69.0,46.17,3,4,5,2,2,0.6034,7,443.18,7
S003,T011,43.0,59.04,5,6,5,3,3,0.3996,5,580.34,8
S003,T012,43.0,61.78,5,5,6,3,4,0.3589,4,629.17,9
S003,T013,43.0,78.29,7,7,8,4,8,0.2224,3,766.25,13
S003,T014,60.0,44.19,4,5,5,2,3,0.6071,6,358.54,8
S003,T015,60.0,49.94,5,6,6,3,4,0.4755,4,514.6,10
S003,T016,60.0,57.87,5,5,7,3,5,0.4208,5,627.07,11
S003,T017,32.0,60.51,7,8,7,3,6,0.3314,3,614.81,12
S003,T018,32.0,75.19,7,8,8,4,7,0.1845,3,791.86,13
S003,T019,32.0,81.66,7,9,9,5,10,0.1275,2,890.19,14
S003,T020,42.0,62.29,4,4,6,3,5,0.4181,4,519.72,8
S003,T021,42.0,62.22,7,9,7,3,5,0.3366,3,648.41,13
S003,T022,42.0,61.35,6,6,6,3,5,0.3431,4,669.43,11
S003,T023,42.0,78.66,6,8,7,5,7,0.192,2,810.29,12
S003,T024,42.0,77.98,6,7,9,4,9,0.2048,2,817.07,13
S003,T025,42.0,68.98,6,7,6,3,5,0.3139,4,654.73,10
S003,T026,69.0,31.12,4,6,4,2,2,0.6737,7,317.59,6
S003,T027,69.0,43.07,3,5,5,2,3,0.5801,6,441.53,6
S003,T028,69.0,47.89,3,5,5,2,2,0.5855,7,459.36,6
S003,T029,69.0,50.41,5,6,5,2,3,0.5043,6,579.35,10
S003,T030,69.0,55.92,4,6,5,3,3,0.4611,4,589.04,7
S004,T001,63.0,38.98,4,6,3,2,1,0.6028,6,384.67,5
S004,T002,63.0,49.17,5,5,5,2,3,0.4943,5,495.82,9
S004,T003,63.0,58.34,4,5,6,3,4,0.4017,3,608.88,8
S004,T004,43.0,51.55,5,7,6,3,4,0.4568,4,489.03,10
S004,T005,43.0,61.53,5,6,7,3,5,0.3398,3,629.76,11
S004,T006,65.0,44.05,3,5,4,2,2,0.6292,7,367.79,6
S004,T007,65.0,44.67,5,5,5,2,3,0.5116,5,522.43,9
S004,T008,79.0,31.86,4,6,4,1,1,0.7003,8,353.35,8
S004,T009,30.0,63.81,6,6,7,4,5,0.3385,2,599.91,11
S004,T010,30.0,74.48,8,10,8,4,8,0.1634,1,809.96,15
S004,T011,63.0,44.96,4,5,3,2,1,0.5938,6,418.93,7
S004,T012,63.0,47.28,4,6,4,2,2,0.5297,5,519.46,7
S004,T013,63.0,61.05,5,6,6,3,4,0.3982,3,632.62,11
S004,T014,43.0,59.16,6,7,6,2,4,0.4182,4,538.9,11
S004,T015,43.0,64.62,5,7,7,3,6,0.3028,3,691.33,11
S004,T016,43.0,77.37,6,7,9,4,9,0.1926,2,818.07,13
S004,T017,65.0,35.63,3,5,3,2,1,0.63,7,381.02,5
S004,T018,65.0,42.22,4,5,4,2,2,0.559,7,477.69,8
S004,T019,65.0,55.48,6,8,5,3,3,0.4874,5,586.79,11
S004,T020,79.0,22.28,3,5,1,1,1,0.801,8,218.78,4
S004,T021,79.0,39.57,4,4,3,1,1,0.6874,7,368.85,7
S004,T022,79.0,30.6,2,3,3,2,1,0.7159,8,354.19,5
S004,T023,79.0,45.19,5,6,4,3,2,0.5646,5,488.37,9
S004,T024,79.0,46.07,5,7,5,2,3,0.568,5,500.22,9
S004,T025,79.0,35.37,3,3,3,1,1,0.6927,7,375.34,6
S004,T026,30.0,72.13,7,7,6,4,5,0.2633,2,692.22,12
S004,T027,30.0,79.09,7,8,8,4,7,0.1998,2,764.5,14
S004,T028,30.0,80.51,7,8,8,4,8,0.1726,2,807.3,14
S004,T029,30.0,86.51,7,9,9,4,10,0.0705,0,898.56,15
S004,T030,30.0,78.92,7,7,9,5,10,0.1291,2,849.8,14
S005,T001,78.0,21.27,2,2,3,1,1,0.8103,7,202.4,4
S005,T002,78.0,28.94,3,4,2,1,0,0.7106,7,321.87,4
S005,T003,78.0,46.83,3,5,4,2,2,0.5436,5,533.79,7
S005,T004,72.0,34.96,2,2,2,1,1,0.7344,7,291.03,4
S005,T005,72.0,36.79,3,3,4,2,2,0.62,5,436.58,7
S005,T006,50.0,55.02,4,6,6,2,4,0.4855,5,489.28,8
S005,T007,50.0,60.84,5,7,5,3,3,0.4253,5,600.86,9
S005,T008,39.0,66.65,6,8,7,4,6,0.2712,3,717.19,12
S005,T009,87.0,20.86,2,2,2,0,1,0.8418,8,179.58,3
S005,T010,87.0,23.92,3,4,3,1,1,0.7701,7,267.82,6
S005,T011,78.0,28.29,2,2,2,1,1,0.782,8,257.33,4
S005,T012,78.0,41.62,3,3,3,2,1,0.6611,7,394.29,6
S005,T013,78.0,39.99,4,6,5,2,3,0.5791,6,498.35,9
S005,T014,72.0,28.1,4,4,2,1,0,0.7455,7,262.89,6
S005,T015,72.0,43.19,4,6,4,2,2,0.5962,6,417.81,7
S005,T016,72.0,44.24,3,4,4,3,2,0.531,6,556.49,6
S005,T017,50.0,47.67,5,6,5,3,3,0.5122,6,473.36,8
S005,T018,50.0,57.67,5,7,7,3,5,0.4059,5,615.22,10
S005,T019,50.0,68.98,6,6,8,4,7,0.3269,3,672.69,12
S005,T020,39.0,60.08,5,7,6,3,4,0.4286,4,533.74,9
S005,T021,39.0,68.6,6,7,8,4,7,0.263,2,726.91,13
S005,T022,39.0,64.25,6,7,7,4,5,0.3011,3,662.5,11
S005,T023,39.0,73.59,6,7,9,4,9,0.1709,2,843.99,12
S005,T024,39.0,82.14,6,7,9,5,10,0.1595,2,855.88,14
S005,T025,39.0,67.99,5,5,7,4,6,0.2794,4,714.62,11
S005,T026,87.0,17.25,2,2,1,1,0,0.8942,9,141.65,4
S005,T027,87.0,33.73,3,5,2,1,1,0.739,8,308.38,5
S005,T028,87.0,27.19,3,4,3,1,1,0.7691,8,259.72,6
S005,T029,87.0,32.98,3,3,4,1,2,0.6879,8,369.14,7
S005,T030,87.0,40.4,4,4,3,1,1,0.6355,7,453.56,6
S006,T001,50.0,48.23,4,5,4,3,2,0.5313,5,457.6,7
S006,T002,50.0,63.53,5,7,7,3,5,0.403,4,595.25,10
S006,T003,50.0,70.57,5,6,7,4,6,0.2903,4,709.98,10
S006,T004,36.0,60.06,6,6,6,3,4,0.3813,5,586.23,10
S006,T005,36.0,74.04,6,8,7,3,7,0.2235,3,737.35,12
S006,T006,36.0,68.49,6,8,7,4,5,0.3455,3,607.59,11
S006,T007,36.0,70.47,6,8,8,4,7,0.2645,4,743.48,13
S006,T008,81.0,31.09,3,4,2,1,0,0.7329,7,301.52,5
S006,T009,66.0,35.66,4,4,4,2,2,0.6315,6,347.76,7
S006,T010,66.0,41.3,5,5,4,2,2,0.5938,5,441.59,7
S006,T011,50.0,46.76,5,7,5,3,3,0.5244,4,481.7,10
S006,T012,50.0,54.82,4,5,6,3,4,0.437,4,552.94,8
S006,T013,50.0,63.72,6,7,7,4,6,0.2973,3,756.17,12
S006,T014,36.0,54.74,5,6,5,3,4,0.3931,4,569.02,9
S006,T015,36.0,73.84,6,6,7,4,7,0.2436,2,744.02,12
S006,T016,36.0,72.63,7,8,8,4,8,0.1973,1,815.07,14
S006,T017,36.0,60.75,6,8,5,3,4,0.3992,4,576.52,11
S006,T018,36.0,74.1,7,7,7,3,6,0.2385,3,763.3,13
S006,T019,36.0,87.47,7,8,8,4,8,0.1213,2,847.96,14
S006,T020,81.0,23.27,3,3,2,1,0,0.8345,8,175.83,5
S006,T021,81.0,37.35,4,5,3,1,2,0.6763,7,386.0,7
S006,T022,81.0,32.91,2,3,2,1,1,0.7308,8,293.81,4
S006,T023,81.0,46.31,5,5,5,2,3,0.5965,6,484.51,9
S006,T024,81.0,42.55,4,5,4,1,2,0.6439,7,421.53,7
S006,T025,81.0,31.6,3,4,4,1,1,0.7302,8,340.31,6
S006,T026,66.0,33.23,4,6,4,2,2,0.6507,7,343.12,7
S006,T027,66.0,46.41,5,6,5,2,2,0.5815,5,442.74,9
S006,T028,66.0,49.23,4,6,5,2,2,0.55,5,485.26,7
S006,T029,66.0,56.89,5,7,5,2,3,0.4769,5,571.29,8
S006,T030,66.0,55.25,5,7,6,2,4,0.427,4,592.65,9
S007,T001,78.0,32.41,2,3,3,1,1,0.7708,8,229.37,5
S007,T002,78.0,36.66,3,4,3,2,1,0.6536,6,383.53,5
S007,T003,78.0,40.49,4,6,5,2,3,0.5597,6,497.97,8
S007,T004,74.0,24.0,2,3,3,2,1,0.769,9,235.61,4
S007,T005,74.0,40.62,5,6,3,2,2,0.6251,6,393.18,8
S007,T006,62.0,43.7,3,5,3,2,2,0.6114,7,351.9,6
S007,T007,62.0,52.5,5,7,4,3,3,0.4968,5,496.09,8
S007,T008,88.0,28.06,3,4,2,1,1,0.7523,8,300.92,5
S007,T009,53.0,51.8,5,6,5,2,3,0.5335,5,423.09,9
S007,T010,53.0,61.25,5,7,7,3,5,0.4033,4,625.13,10
S007,T011,78.0,27.08,3,5,3,1,1,0.7607,8,251.19,6
S007,T012,78.0,33.74,4,5,3,2,1,0.6521,6,412.19,6
S007,T013,78.0,43.53,3,4,4,2,2,0.5764,5,464.07,7
S007,T014,74.0,30.79,3,3,3,2,1,0.7018,6,283.93,6
S007,T015,74.0,34.44,3,4,3,2,1,0.6767,8,379.07,5
S007,T016,74.0,43.2,3,3,4,3,2,0.5344,6,501.9,6
S007,T017,62.0,39.62,4,5,4,2,2,0.6061,6,378.15,6
S007,T018,62.0,50.95,4,4,6,2,4,0.5082,4,483.15,8
S007,T019,62.0,59.37,5,7,5,3,3,0.4044,4,631.62,9
S007,T020,88.0,13.5,2,2,1,0,0,0.9135,8,120.56,3
S007,T021,88.0,31.88,2,3,4,1,1,0.7408,8,305.29,5
S007,T022,88.0,26.22,2,2,2,1,0,0.7466,8,302.82,4
S007,T023,88.0,35.28,2,2,3,2,1,0.684,7,414.03,4
S007,T024,88.0,42.11,3,5,4,2,2,0.6575,6,418.12,7
S007,T025,88.0,30.72,4,4,2,1,1,0.7751,8,287.76,6
S007,T026,53.0,42.7,5,5,5,2,3,0.5528,5,458.87,9
S007,T027,53.0,52.49,5,7,6,3,3,0.4662,4,517.29,10
S007,T028,53.0,56.84,4,4,6,3,4,0.4461,5,560.17,8
S007,T029,53.0,68.03,6,8,7,3,6,0.3231,4,717.01,12
S007,T030,53.0,67.0,6,8,6,3,5,0.329,4,721.32,11
S008,T001,63.0,37.05,4,5,3,2,2,0.6675,7,336.64,6
S008,T002,63.0,51.0,3,3,5,2,3,0.5446,5,456.57,8
S008,T003,63.0,60.71,6,6,7,3,5,0.4242,4,595.01,11
S008,T004,80.0,21.22,3,3,2,1,0,0.8132,9,218.14,4
S008,T005,80.0,32.09,2,2,3,1,1,0.6981,8,323.81,5
S008,T006,67.0,40.01,3,3,4,1,1,0.6682,7,310.24,7
S008,T007,67.0,43.69,5,5,4,2,2,0.5407,5,471.52,9
S008,T008,82.0,31.47,3,4,3,1,0,0.7536,7,304.82,6
S008,T009,65.0,41.22,3,4,4,2,1,0.6352,7,347.21,5
S008,T010,65.0,41.85,5,5,4,2,2,0.5778,7,422.17,9
S008,T011,63.0,34.61,3,4,4,2,1,0.6296,6,356.51,6
S008,T012,63.0,48.35,4,6,5,3,3,0.5571,5,437.45,8
S008,T013,63.0,58.73,4,5,6,3,4,0.3932,3,657.9,9
S008,T014,80.0,20.76,2,3,1,1,1,0.8093,8,201.71,3
S008,T015,80.0,28.06,3,4,3,2,1,0.712,7,309.98,5
S008,T016,80.0,37.63,3,5,4,1,2,0.6087,6,433.28,6
S008,T017,67.0,33.62,4,5,3,2,1,0.6714,7,352.51,5
S008,T018,67.0,42.42,3,3,4,2,2,0.5946,5,435.26,7
S008,T019,67.0,57.72,4,4,6,2,4,0.4434,5,573.31,8
S008,T020,82.0,29.42,2,2,2,1,1,0.7837,8,246.71,3
S008,T021,82.0,33.53,4,5,3,1,1,0.6999,6,369.23,7
S008,T022,82.0,26.63,4,4,3,1,1,0.7585,7,270.45,6
S008,T023,82.0,41.65,4,6,4,2,2,0.6033,5,483.53,8
S008,T024,82.0,39.89,3,3,4,2,1,0.6408,5,446.89,6
S008,T025,82.0,27.42,3,5,3,1,1,0.7407,7,309.91,6
S008,T026,65.0,35.04,3,3,4,2,2,0.6669,6,361.58,5
S008,T027,65.0,45.05,5,5,5,3,2,0.5207,6,484.92,10
S008,T028,65.0,44.01,5,6,4,2,2,0.5414,6,496.58,8
S008,T029,65.0,56.55,5,6,5,3,3,0.4231,5,618.12,8
S008,T030,65.0,50.94,4,6,6,3,3,0.4746,4,552.06,9
S009,T001,72.0,35.25,3,4,3,2,1,0.7211,7,290.44,5
S009,T002,72.0,39.31,4,4,3,3,2,0.5882,6,459.49,7
S009,T003,72.0,44.79,4,5,6,3,3,0.5316,6,536.92,8
S009,T004,33.0,63.33,6,6,6,3,5,0.3578,3,615.19,10
S009,T005,33.0,68.69,6,6,8,4,7,0.2447,3,738.89,13
S009,T006,44.0,52.6,6,7,5,2,3,0.4399,4,549.15,10
S009,T007,44.0,61.89,6,7,7,3,5,0.3642,4,655.21,11
S009,T008,47.0,66.81,5,5,6,3,5,0.3444,3,645.57,10
S009,T009,35.0,69.24,5,5,7,4,5,0.3286,4,594.03,10
S009,T010,35.0,66.76,7,8,8,3,7,0.2777,3,693.02,13
S009,T011,72.0,28.06,3,4,4,1,1,0.7273,8,311.05,6
S009,T012,72.0,41.38,4,4,3,1,2,0.6047,6,415.89,7
S009,T013,72.0,46.3,4,5,4,3,2,0.5073,5,525.48,7
S009,T014,33.0,64.22,6,8,7,3,6,0.2958,4,628.02,12
S009,T015,33.0,71.45,6,6,8,4,7,0.2669,3,704.58,13
S009,T016,33.0,87.26,8,9,8,5,9,0.1203,2,871.27,15
S009,T017,44.0,55.19,5,7,5,3,4,0.4026,4,572.52,10
S009,T018,44.0,64.72,7,7,8,4,7,0.3134,3,644.27,14
S009,T019,44.0,78.31,7,9,7,4,6,0.228,2,809.24,12
S009,T020,47.0,49.99,4,5,6,3,4,0.4737,5,494.45,8
S009,T021,47.0,67.13,5,5,6,3,4,0.3316,4,660.96,9
S009,T022,47.0,61.98,6,7,7,3,5,0.3775,3,615.16,11
S009,T023,47.0,64.64,6,8,7,3,6,0.308,2,702.49,12
S009,T024,47.0,68.99,5,6,6,4,5,0.2972,2,726.21,9
S009,T025,47.0,60.5,6,7,7,3,5,0.3811,3,625.77,12
S009,T026,35.0,63.03,6,7,6,3,4,0.3248,3,644.15,10
S009,T027,35.0,71.31,5,7,7,4,6,0.2657,3,717.36,11
S009,T028,35.0,71.25,6,7,8,4,7,0.2435,2,754.27,13
S009,T029,35.0,84.63,7,9,8,4,9,0.1513,1,831.39,13
S009,T030,35.0,86.7,6,8,9,5,10,0.1134,2,869.07,14
S010,T001,44.0,62.72,5,6,6,3,5,0.4054,4,526.19,10
S010,T002,44.0,66.58,5,5,6,3,5,0.3625,4,657.34,9
S010,T003,44.0,74.77,7,8,9,4,8,0.2229,2,788.93,14
S010,T004,36.0,58.97,6,7,5,3,4,0.3695,5,600.7,11
S010,T005,36.0,76.01,7,8,7,4,7,0.2216,2,779.97,12
S010,T006,47.0,48.27,5,6,5,3,3,0.4895,6,466.61,9
S010,T007,47.0,59.85,6,6,6,3,4,0.3908,5,585.99,12
S010,T008,68.0,51.08,4,4,5,2,2,0.5423,5,491.31,9
S010,T009,52.0,48.23,5,5,5,2,3,0.5204,5,485.28,9
S010,T010,52.0,57.22,6,7,6,3,4,0.4075,4,573.37,12
S010,T011,44.0,56.82,5,7,5,3,3,0.4686,5,529.74,9
S010,T012,44.0,68.73,5,5,6,4,5,0.3106,3,688.56,11
S010,T013,44.0,69.18,6,6,7,4,6,0.2681,3,728.23,12
S010,T014,36.0,59.88,5,7,6,3,4,0.3875,3,560.83,9
S010,T015,36.0,76.41,7,9,7,4,6,0.2422,3,752.5,13
S010,T016,36.0,82.38,7,9,7,4,7,0.1728,2,827.36,13
S010,T017,47.0,52.53,5,6,5,2,3,0.5096,5,491.25,9
S010,T018,47.0,56.79,6,8,5,3,3,0.3976,5,620.51,9
S010,T019,47.0,68.03,6,6,7,4,6,0.2844,3,761.49,12
S010,T020,68.0,31.16,2,2,4,2,2,0.6771,7,347.83,6
S010,T021,68.0,42.93,4,4,5,3,2,0.5705,6,484.28,9
S010,T022,68.0,42.89,5,5,5,2,3,0.5515,5,479.33,9
S010,T023,68.0,51.57,4,4,5,2,3,0.5009,5,562.25,9
S010,T024,68.0,55.56,4,4,6,3,4,0.4707,4,581.8,8
S010,T025,68.0,40.17,3,4,4,2,2,0.5987,5,405.03,7
S010,T026,52.0,47.53,4,6,5,3,3,0.5165,5,485.08,7
S010,T027,52.0,51.36,6,7,4,3,2,0.4558,5,523.85,8
S010,T028,52.0,51.35,6,7,6,3,4,0.4369,5,598.33,11
S010,T029,52.0,71.08,6,7,7,3,6,0.2816,3,722.99,11
S010,T030,52.0,69.64,5,7,6,3,5,0.3137,4,689.68,9
S011,T001,52.0,56.16,4,4,5,3,3,0.4891,5,475.72,7
S011,T002,52.0,58.69,6,8,7,2,5,0.4239,5,604.14,12
S011,T003,52.0,69.63,5,7,6,4,5,0.2919,4,729.26,9
S011,T004,43.0,58.77,6,6,7,3,5,0.394,5,542.05,12
S011,T005,43.0,69.5,5,7,6,3,5,0.2908,2,715.55,10
S011,T006,46.0,59.06,5,6,5,3,3,0.4346,5,539.5,8
S011,T007,46.0,61.76,4,4,5,3,4,0.3757,4,616.95,9
S011,T008,86.0,23.77,3,5,3,2,0,0.7689,7,281.1,5
S011,T009,69.0,32.85,4,6,3,2,1,0.6751,7,353.48,6
S011,T010,69.0,43.33,4,5,4,2,2,0.6051,7,418.79,7
S011,T011,52.0,45.44,3,5,5,2,3,0.559,6,404.75,7
S011,T012,52.0,55.8,5,7,5,3,4,0.4065,5,592.04,9
S011,T013,52.0,62.41,5,5,7,3,6,0.3485,4,655.9,11
S011,T014,43.0,56.18,6,8,5,2,3,0.4533,4,541.68,9
S011,T015,43.0,65.47,6,8,7,4,6,0.3078,2,675.49,12
S011,T016,43.0,78.86,6,8,9,4,9,0.1902,1,791.1,12
S011,T017,46.0,55.95,5,5,5,2,3,0.4773,5,477.19,8
S011,T018,46.0,66.22,6,6,7,3,6,0.347,4,642.05,13
S011,T019,46.0,74.24,6,8,8,4,7,0.2308,3,809.31,13
S011,T020,86.0,16.81,1,1,0,1,0,0.8753,9,178.84,1
S011,T021,86.0,23.42,2,3,3,1,1,0.7754,8,275.67,5
S011,T022,86.0,26.78,3,4,3,1,1,0.7439,7,315.12,5
S011,T023,86.0,37.1,4,6,4,2,1,0.6738,7,419.9,7
S011,T024,86.0,34.2,4,6,3,2,1,0.6666,7,434.21,6
S011,T025,86.0,36.46,2,4,2,2,0,0.722,7,337.28,3
S011,T026,69.0,36.1,2,4,2,1,1,0.7127,8,308.53,4
S011,T027,69.0,41.31,3,5,4,2,2,0.5949,7,461.74,6
S011,T028,69.0,41.93,3,4,3,2,2,0.5942,6,418.49,6
S011,T029,69.0,50.19,5,7,5,3,3,0.4794,5,553.14,8
S011,T030,69.0,50.18,5,6,4,2,2,0.4639,4,606.44,8
S012,T001,67.0,36.51,2,3,3,2,1,0.705,8,288.82,5
S012,T002,67.0,47.51,5,7,4,2,2,0.5358,5,479.5,7
S012,T003,67.0,56.13,4,5,5,3,3,0.4477,5,597.95,9
S012,T004,40.0,59.2,4,5,6,3,5,0.4119,4,577.38,8
S012,T005,40.0,64.84,7,8,6,3,5,0.3333,3,672.95,12
S012,T006,74.0,26.86,2,4,2,2,1,0.7389,7,299.27,3
S012,T007,74.0,41.93,4,4,5,2,2,0.6052,7,437.71,9
S012,T008,40.0,61.88,7,9,7,4,5,0.3117,2,649.43,12
S012,T009,53.0,49.04,5,6,5,2,3,0.4956,4,472.08,8
S012,T010,53.0,59.23,4,6,6,2,4,0.4476,5,535.89,8
S012,T011,67.0,35.42,4,5,3,1,2,0.6369,7,341.81,7
S012,T012,67.0,45.12,3,5,3,2,2,0.598,6,445.5,6
S012,T013,67.0,53.16,5,5,4,3,3,0.4743,4,551.97,9
S012,T014,40.0,58.63,4,6,7,3,5,0.4181,3,529.8,10
S012,T015,40.0,62.72,5,7,7,3,6,0.3054,4,656.32,11
S012,T016,40.0,74.09,6,8,8,4,8,0.1865,2,820.65,13
S012,T017,74.0,23.83,2,4,2,1,0,0.7555,7,242.62,4
S012,T018,74.0,38.49,4,4,4,2,2,0.6349,6,416.83,6
S012,T019,74.0,43.74,3,4,5,2,2,0.5516,5,534.28,6
S012,T020,40.0,59.4,5,5,7,3,5,0.3615,3,564.93,11
S012,T021,40.0,69.56,6,6,7,4,6,0.3032,3,669.76,12
S012,T022,40.0,70.04,6,8,7,4,6,0.2917,2,707.45,11
S012,T023,40.0,72.74,7,7,8,4,8,0.2053,1,804.75,13
S012,T024,40.0,74.51,6,7,8,5,8,0.1634,1,850.0,13
S012,T025,40.0,68.13,5,7,6,3,5,0.3107,3,667.84,10
S012,T026,53.0,47.71,4,4,5,3,3,0.5313,6,447.29,8
S012,T027,53.0,55.48,5,5,6,3,4,0.4011,5,605.17,10
S012,T028,53.0,53.64,5,5,6,3,4,0.4232,3,600.31,9
S012,T029,53.0,61.11,5,7,7,3,6,0.3359,3,719.85,10
S012,T030,53.0,58.93,6,8,7,4,6,0.3675,4,673.98,12
S013,T001,89.0,20.85,2,2,2,0,1,0.8675,9,148.45,3
S013,T002,89.0,26.39,3,3,2,1,0,0.7863,8,296.22,5
S013,T003,89.0,36.16,2,4,3,2,1,0.6984,7,361.92,5
S013,T004,68.0,30.37,2,4,3,1,1,0.6831,6,321.12,5
S013,T005,68.0,42.49,4,6,5,2,3,0.6032,6,422.84,9
S013,T006,63.0,38.75,3,5,4,1,2,0.6628,7,353.98,5
S013,T007,63.0,50.56,5,7,6,2,4,0.4906,4,528.13,10
S013,T008,71.0,41.29,4,6,4,2,2,0.6152,6,397.83,7
S013,T009,81.0,17.02,2,4,1,1,0,0.8491,9,162.07,4
S013,T010,81.0,30.89,3,4,4,2,2,0.678,7,357.03,7
S013,T011,89.0,10.95,2,4,1,0,0,0.9159,9,93.78,4
S013,T012,89.0,21.83,2,4,3,1,0,0.7991,7,260.41,5
S013,T013,89.0,28.74,3,3,2,1,1,0.7245,6,344.38,4
S013,T014,68.0,39.46,3,4,4,2,2,0.64,7,357.05,5
